pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
99,Repatriated travellers,Voyageurs rapatriÃ©s,3/31/2020,,13,0,0,13,76,48,12,92.31,,,0,0,,,0,0,0,0,3,7.69,1,,5,,0,,0,,0,,0,,0,,
1,Canada,Canada,3/31/2020,,8536,12,96,8548,241214,178318,1254,14.67,6347,4692,1111,14.94,22.49,0.25,7,1.12,15433,13600,186,84.21,7198,18.94,8108,21.33,88,0.23,5756,15.15,69,0.18,822,2.16,10,0.03,0.49
59,British Columbia,Colombie-Britannique,4/1/2020,,1066,0,25,1066,36364,41710,606,56.85,7064,8103,96,9.9,20.71,0.49,6,2.35,340,1000,99,40.81,435,8.45,880,17.09,18,0.35,407,7.91,11,0.21,58,1.13,2,0.03,1.92
48,Alberta,Alberta,4/1/2020,,754,0,9,754,53141,47646,142,18.83,12018,10775,0,0,17.05,0.2,0,1.19,4449,2549,22,79.97,603,13.64,657,14.86,9,0.2,335,7.58,7,0.16,48,1.08,1,0.02,0.5
47,Saskatchewan,Saskatchewan,4/1/2020,,193,0,3,193,10202,9210,30,15.54,8655,7814,9,4.89,16.37,0.25,1,1.55,830,475,9,82.9,160,13.57,185,15.7,3,0.25,107,9.08,3,0.25,15,1.3,0,0.04,0.76
46,Manitoba,Manitoba,4/1/2020,,109,18,1,127,9811,8704,4,3.15,7113,6311,24,23.3,9.21,0.07,0,0.79,1182,378,0,96.06,122,8.85,112,8.12,1,0.07,92,6.67,1,0.07,13,0.95,0,0.01,0
35,Ontario,Ontario,4/1/2020,,2392,0,37,2392,61009,0,689,28.8,4141,,426,21.67,16.23,0.25,4,1.55,5100,0,155,69.65,1666,11.31,2203,14.95,36,0.24,1704,11.57,24,0.16,243,1.65,3,0.02,1.05
24,Quebec,QuÃ©bec,4/1/2020,,4611,0,33,4611,69711,69119,29,0.63,8130,8061,449,10.79,53.78,0.38,2,0.72,2171,8062,0,98.66,4549,53.05,4537,52.91,32,0.37,3272,38.16,27,0.31,467,5.45,4,0.04,0
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4/1/2020,,175,0,1,175,2762,3812,10,5.71,5290,7301,23,15.13,33.52,0.19,0,0.57,262,190,3,93.71,164,31.41,172,32.94,1,0.19,108,20.69,1,0.19,15,2.96,0,0.03,0.57
13,New Brunswick,Nouveau-Brunswick,4/1/2020,,81,0,0,81,4121,3968,14,17.28,5273,5078,11,15.71,10.37,0,0,0,491,454,5,82.72,67,8.57,73,9.34,0,0,55,7.04,0,0,8,1.01,0,0,0.64
12,Nova Scotia,Nouvelle-Ã‰cosse,4/1/2020,,173,0,0,173,7405,6023,11,6.36,7561,6150,26,17.69,17.66,0,0,0,791,762,1,93.64,162,16.54,166,16.95,0,0,105,10.72,0,0,15,1.53,0,0,0.1
